Metric,Value,Details
Overall Statistics,,
Total Papers,383,2019-2026 (8 years)
Total Author Instances,1757,Sum of all author appearances
Unique Authors,1423,Distinct author count
Average Authors per Paper,4.6,
,,
Identification Rate,68.4%,974 out of 1423
,,
Country Distribution,,Top 10 Countries
  1. China,866,60.9% of all authors
  2. Unknown,449,31.6% of all authors
  3. USA,16,1.1% of all authors
  4. Turkey,15,1.1% of all authors
  5. Arab,14,1.0% of all authors
  6. Germany,13,0.9% of all authors
  7. India,10,0.7% of all authors
  8. Korea,9,0.6% of all authors
  9. Japan,7,0.5% of all authors
  10. Saudi Arabia,4,0.3% of all authors
