Year,Category_CN,Category,Title,Total_Authors,China_Authors,Foreign_Authors,Unknown_Authors,Authors_List,URL
2026,有国外元素,international,Integration of Near-Proximal and Proximal Lidar Sensing for Fine-Resolution Forest Inventory,7,2,1,4,"Zhao, Chunxi (China); Hanafy, Hazem (Unknown); Eissa, Aser M. (Unknown); Hany, Youssef (Unknown); Shao, Jinyuan (China); Fei, Songlin (Unknown); Habib, Ayman (Egypt)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000003/art00009;jsessionid=2d3eqjtfyqr0e.x-ic-live-01
2026,不确定,uncertain,"Review of NASA Earth Observations, Recent Science, and Practical Applications",2,0,0,2,"Uz, Stephanie Schollaert (Unknown); Anyamba, Assaf (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000003/art00011;jsessionid=2d3eqjtfyqr0e.x-ic-live-01
2026,不确定,uncertain,Remote Sensing’s Role in Assessing the Risks of Climate Extremes,1,0,0,1,"Carbone, Gregory J. (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000003/art00013;jsessionid=2d3eqjtfyqr0e.x-ic-live-01
2026,不确定,uncertain,"Detecting Altimetric Changes in Arctic Landscapes Using Historical Aerial Imagery-Derived Digital Elevation Models (hDEMs): Case Study of the Black Mountain Alluvial Fan Complex, Canada",3,0,0,3,"Menio, Emma (Unknown); Theiss, Hank (Unknown); Cothren, Jackson (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000003/art00015;jsessionid=2d3eqjtfyqr0e.x-ic-live-01
2026,不确定,uncertain,"Urban Heat Island Studies Using Satellite Imagery Coupled with Field Measurements: A Case Study from Chattanooga, TN",5,1,0,4,"Hossain, Azad (Unknown); Wu, Emma (China); Anzalone, Braxton (Unknown); Hart, Jacob (Unknown); Mies, Jonathan (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000003/art00017;jsessionid=2d3eqjtfyqr0e.x-ic-live-01
2026,不确定,uncertain,An Efficient Multi-Scale Transformer Network with Fusion-Attention for Point Cloud-Semantic Segmentation in Urban Environments,8,6,0,2,"Guo, Bo (China); Huang, Zhihai (China); Tang, Shengjun (China); Wambugu, Naftaly (Unknown); Guo, Wenchao (China); Wang, Ruisheng (China); Deng, Xiaolong (China); Hay-Man Ng, Alex (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000002/art00013;jsessionid=760ma0pb0btvm.x-ic-live-02
2026,纯国内,china_only,Graph Neural Network-Based Land Cover-Classification of Remote Sensing Images Using Multi-Scale and Depth Features,4,4,0,0,"Liu, Jiexi (China); Xie, Zhiwei (China); Sun, Lishuang (China); Liu, Ruizhao (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000002/art00014;jsessionid=760ma0pb0btvm.x-ic-live-02
2026,纯国内,china_only,Probabilistic Uncertainty-Guided Salient Object Detection in Remote Sensing Images,6,6,0,0,"Yang, Wei (China); Chen, Xuhui (China); Huang, Andong (China); Yao, Yongxiang (China); Li, Hongli (China); Wang, Ying (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000002/art00015;jsessionid=760ma0pb0btvm.x-ic-live-02
2026,不确定,uncertain,Accuracy Evaluation of Airborne and Terrestrial Point Cloud Registration,1,0,0,1,"Arastounia, Mostafa (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000002/art00017;jsessionid=760ma0pb0btvm.x-ic-live-02
2026,不确定,uncertain,RSIDetNet: An Efficient Oriented Small Object Detection Model for Remote Sensing Images Based on Cross-Scale Feature Fusion and Large Kernel Decomposition,7,6,0,1,"Kang, Zizhuang (China); Han, Yihui (China); He, Bing (China); Jia, Mingquan (Unknown); Luo, Wen (China); Fu, Ying (China); He, Wei (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000001/art00007;jsessionid=9tm168oq0isrt.x-ic-live-02
2026,不确定,uncertain,Comparison of Intertidal Terrain Extraction Methods Based on ICESat‐2 and Tidal Data,6,5,0,1,"Chen, Deliang (China); Lu, Zixuan (China); Zhuang, Qizhi (Unknown); Xiao, Jianbo (China); Chen, Song (China); Cheng, Liang (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000001/art00008;jsessionid=9tm168oq0isrt.x-ic-live-02
2026,纯国内,china_only,Optimized 3D Building Mapping and Reconstruction via Cross-View Collaboration in Densely Built-Up Areas,7,7,0,0,"Tang, Shengjun (China); Chen, Yujie (China); Yu, Tian (China); Li, You (China); Xie, Linfu (China); Wang, Weixi (China); Guo, Renzhong (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000001/art00010;jsessionid=9tm168oq0isrt.x-ic-live-02
2026,纯国内,china_only,A Lightweight YOLO-Based Algorithm for Digital Target Recognition Integrating Positional Enhancement and Morphological Processing,4,4,0,0,"Wang, Sheng (China); Zheng, Nae (China); Lv, Pinpin (China); Gao, Tian (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2026/00000092/00000001/art00011;jsessionid=9tm168oq0isrt.x-ic-live-02
2025,不确定,uncertain,A Novel Multi-level Feature Collaborative Matching Network for Optical and Synthetic Aperture Radar Image Registration,5,4,0,1,"Pang, Bo (Unknown); Wang, Lei (China); Wei, Bo (China); Zhu, Wenlei (China); Gao, Haiyun (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000012/art00011;jsessionid=1m41sx0gikwbg.x-ic-live-03
2025,不确定,uncertain,Joint Detection and Parameters Regression of Detailed Windows based on Facade Textures via an Adaptive Soft Teacher,8,7,0,1,"Hu, Han (China); Li, Chenwei (China); Xu, Bo (China); Chen, Min (China); Zhu, Qing (China); Han, Zujie (China); Ning, Xinwen (Unknown); Fu, Xuesong (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000012/art00013;jsessionid=1m41sx0gikwbg.x-ic-live-03
2025,不确定,uncertain,"Evaluating Three-Dimensional Elevation Program Lidar Consistency and Accuracy at Scale Using Cloud-Native, Open-Source Methods",3,0,0,3,"Sampath, Aparajithan (Unknown); Irwin, Jeffrey R. (Unknown); Stoker, Jason M. (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000012/art00015;jsessionid=1m41sx0gikwbg.x-ic-live-03
2025,纯国内,china_only,ETF-MNet:A Multi-Scale Fusion Network for Enhancing Target Features for Remote Sensing Images,6,6,0,0,"Shan, Huilin (China); Wang, Shuoyang (China); Hu, Yuxiang (China); Chen, Xin (China); Wu, Xinyue (China); Zhang, Yinsheng (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000012/art00017;jsessionid=1m41sx0gikwbg.x-ic-live-03
2025,有国外元素,international,Assessing the Accuracy of a 2021 Kansas‐Oklahoma Tallgrass Ecosystem Burn Area Map,6,0,1,5,"Iiames, John (Unknown); Congalton, Russell G. (Unknown); Avey, Lance (Unknown); Miller, Steven (USA); Ebert, Don (Unknown); Grier, Gina (Unknown)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000012/art00019;jsessionid=1m41sx0gikwbg.x-ic-live-03
2025,不确定,uncertain,An Efficient Irregular Texture Nesting Method via Hybrid NFP-SADE with Adaptive Container Resizing,5,4,0,1,"Lou, Liyuan (Unknown); Li, Wanyun (China); Yu, Jingle (China); Wang, Xin (China); Zhan, Zongqian (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000011/art00008;jsessionid=w35fyfgpuyof.x-ic-live-02
2025,不确定,uncertain,Thermal Point Cloud Generation and Evaluation from Uncalibrated Unmanned Aerial Vehicle–Visible and Infrared Camera Images Using Position and Orientation System Prior,7,6,0,1,"Liu, Siqi (China); Wang, Qiang (China); Fan, Shenghong (China); Cui, Ximin (Unknown); Zou, Yue (China); Liang, Yubin (China); Wang, Qian (China)",https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000011/art00010;jsessionid=w35fyfgpuyof.x-ic-live-02
