Year,Month,Paper_Title,Paper_URL,Paper_Access_Type,Paper_Abstract,Author_Name,Author_Nationality,Author_Total_Papers,Author_Is_High_Producer
2019,1,Integration of Lidar Data and GIS Data for Point Cloud Semantic Enrichment at the Point Level,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00012;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Commercial aerial laser scanning is generally delivered with point-by-point metadata for object identification, but current vendor-generated classification approaches (which rely exclusively on that d...","Aljumaily, Harith",Unknown,1,No
2019,1,Assessment of Different Vegetation Parameters for Parameterizing the Coupled Water Cloud Model and Advanced Integral Equation Model for Soil Moisture Retrieval Using Time Series Sentinel-1A Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00013;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Soil moisture is an important state variable of the land surface ecosystem. In this paper, the water cloud model (WCM) and advanced integral equation model (AIEM) are coupled to retrieve soil moisture...","Bai, Xiaojing",China,1,No
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Bao, Anming",Unknown,1,No
2019,1,Simultaneous Chain-Forming and Generalization of Road Networks,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00011;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Streets are essential entities of urban terrain and their automatic extraction from airborne sensor data is cumbersome because of a complex interplay of geometric, topological, and semantic aspects. G...","Bulatov, Dimitri",Germany,2,No
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Chang, Cun",Unknown,1,No
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Chen, Tao",China,1,No
2019,1,Integration of Lidar Data and GIS Data for Point Cloud Semantic Enrichment at the Point Level,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00012;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Commercial aerial laser scanning is generally delivered with point-by-point metadata for object identification, but current vendor-generated classification approaches (which rely exclusively on that d...","Cuadra, Dolores",Unknown,1,No
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Gao, Zhihai",China,1,No
2019,1,Assessment of Different Vegetation Parameters for Parameterizing the Coupled Water Cloud Model and Advanced Integral Equation Model for Soil Moisture Retrieval Using Time Series Sentinel-1A Data,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00013;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Soil moisture is an important state variable of the land surface ecosystem. In this paper, the water cloud model (WCM) and advanced integral equation model (AIEM) are coupled to retrieve soil moisture...","He, Binbin",China,2,No
2019,1,Individual Tree Detection and Crown Delineation with 3D Information from Multi-view Satellite Images,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00014;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Individual tree detection and crown delineation (ITDD) are critical in forest inventory management and remote sensing based forest surveys are largely carried out through satellite images. However, mo...","Huang, Xu",China,2,No
2019,1,"The Potential of Multispectral Vegetation Indices Feature Space for Quantitatively Estimating the Photosynthetic, Non-Photosynthetic Vegetation and Bare Soil Fractions in Northern China",https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00016;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Non-photosynthetic vegetation (NPV) is widely distributed in the arid and semi-arid area, especially in the sandy areas. The hyperspectral-based cellulose absorption index (CAI) is an accepted method ...","Jiang, Liangliang",China,1,No
2019,1,Integration of Lidar Data and GIS Data for Point Cloud Semantic Enrichment at the Point Level,https://www.ingentaconnect.com/contentone/asprs/pers/2019/00000085/00000001/art00012;jsessionid=1jufp91umff03.x-ic-live-01,Subscribed content,"Commercial aerial laser scanning is generally delivered with point-by-point metadata for object identification, but current vendor-generated classification approaches (which rely exclusively on that d...","Laefer, Debra F.",Unknown,1,No
