Year,Total_Papers,Total_Authors,Unique_Authors,Rank,Country,Author_Count,Percentage
2019,61,255,243,1,China,140,54.90%
2019,61,255,243,2,Unknown,89,34.90%
2019,61,255,243,3,Germany,8,3.14%
2019,61,255,243,4,Korea,6,2.35%
2019,61,255,243,5,USA,6,2.35%
2019,61,255,243,6,Netherlands,2,0.78%
2019,61,255,243,7,Brazil,1,0.39%
2019,61,255,243,8,Japan,1,0.39%
2019,61,255,243,9,Spain,1,0.39%
2019,61,255,243,10,Turkey,1,0.39%
2020,45,204,202,1,China,134,65.69%
2020,45,204,202,2,Unknown,52,25.49%
2020,45,204,202,3,Turkey,5,2.45%
2020,45,204,202,4,USA,4,1.96%
2020,45,204,202,5,Germany,3,1.47%
2020,45,204,202,6,Arab,2,0.98%
2020,45,204,202,7,France,1,0.49%
2020,45,204,202,8,India,1,0.49%
2020,45,204,202,9,Korea,1,0.49%
2020,45,204,202,10,Netherlands,1,0.49%
2021,67,319,296,1,China,224,70.22%
2021,67,319,296,2,Unknown,64,20.06%
2021,67,319,296,3,USA,5,1.57%
2021,67,319,296,4,Turkey,4,1.25%
2021,67,319,296,5,Arab,3,0.94%
2021,67,319,296,6,Egypt,3,0.94%
2021,67,319,296,7,Japan,3,0.94%
2021,67,319,296,8,France,2,0.63%
2021,67,319,296,9,Germany,2,0.63%
2021,67,319,296,10,India,2,0.63%
2021,67,319,296,11,Pakistan,2,0.63%
2021,67,319,296,12,Brazil,1,0.31%
2021,67,319,296,13,Canada,1,0.31%
2021,67,319,296,14,Korea,1,0.31%
2021,67,319,296,15,Spain,1,0.31%
2021,67,319,296,16,Tanzania,1,0.31%
2022,55,233,204,1,China,153,65.67%
2022,55,233,204,2,Unknown,55,23.61%
2022,55,233,204,3,Arab,5,2.15%
2022,55,233,204,4,Japan,5,2.15%
2022,55,233,204,5,India,4,1.72%
2022,55,233,204,6,Kenya,2,0.86%
2022,55,233,204,7,Pakistan,2,0.86%
2022,55,233,204,8,Sri Lanka,2,0.86%
2022,55,233,204,9,Turkey,2,0.86%
2022,55,233,204,10,Ethiopia,1,0.43%
2022,55,233,204,11,Netherlands,1,0.43%
2022,55,233,204,12,Tanzania,1,0.43%
2023,46,221,204,1,China,120,54.30%
2023,46,221,204,2,Unknown,78,35.29%
2023,46,221,204,3,Turkey,6,2.71%
2023,46,221,204,4,Arab,5,2.26%
2023,46,221,204,5,USA,3,1.36%
2023,46,221,204,6,Korea,2,0.90%
2023,46,221,204,7,Pakistan,2,0.90%
2023,46,221,204,8,Saudi Arabia,2,0.90%
2023,46,221,204,9,Egypt,1,0.45%
2023,46,221,204,10,India,1,0.45%
2023,46,221,204,11,Kenya,1,0.45%
2024,51,219,212,1,China,144,65.75%
2024,51,219,212,2,Unknown,56,25.57%
2024,51,219,212,3,Arab,4,1.83%
2024,51,219,212,4,USA,4,1.83%
2024,51,219,212,5,India,3,1.37%
2024,51,219,212,6,Pakistan,3,1.37%
2024,51,219,212,7,Egypt,1,0.46%
2024,51,219,212,8,Ethiopia,1,0.46%
2024,51,219,212,9,Japan,1,0.46%
2024,51,219,212,10,Saudi Arabia,1,0.46%
2024,51,219,212,11,Turkey,1,0.46%
2025,45,245,218,1,China,173,70.61%
2025,45,245,218,2,Unknown,54,22.04%
2025,45,245,218,3,USA,7,2.86%
2025,45,245,218,4,India,4,1.63%
2025,45,245,218,5,Ethiopia,2,0.82%
2025,45,245,218,6,Germany,2,0.82%
2025,45,245,218,7,Arab,1,0.41%
2025,45,245,218,8,Korea,1,0.41%
2025,45,245,218,9,Saudi Arabia,1,0.41%
2026,13,61,60,1,China,41,67.21%
2026,13,61,60,2,Unknown,19,31.15%
2026,13,61,60,3,Egypt,1,1.64%
