Author Name,Nationality,Paper Count
"Shao, Zhenfeng",China,12
"Huang, Xiao",China,9
"Qin, Rongjun",China,8
"Cheng, Qimin",China,8
"Ge, Xuming",Unknown,7
"Zhu, Qing",China,7
"Wu, Bo",China,6
"Ahmad, Muhammad Nasar",Arab,6
"Javed, Akib",Unknown,5
"Zheng, Zezhong",China,5
"Peng, Hao",China,5
"Jin, Shuanggen",China,5
"Chen, Min",China,5
"Wang, Wei",China,5
"Hu, Han",China,5
"Liu, Wei",China,5
"Li, Deren",China,5
"Parrish, Christopher E.",Unknown,5
"Di, Kaichang",Unknown,4
"Liu, Zhaoqin",China,4
"Thenkabail, Prasad S.",Unknown,4
"Tong, Xiaohua",Unknown,4
"Aneece, Itiya",Unknown,4
"Habib, Ayman",Unknown,4
"Wang, Mi",China,4
"Xu, Bo",China,4
"He, Yong",China,3
"Yang, Yuanyao",China,3
"Li, Xiaohua",China,3
"Zhang, Chaofei",China,3
"Xiao, Wen",China,3
"Sun, Lei",China,3
"Wang, Qiang",China,3
"Li, Haitao",China,3
"Sheng, Qinghong",Unknown,3
"Wang, Yexin",China,3
"Wang, Lei",China,3
"Wu, Wenfu",China,3
"Sakamoto, Toshihiro",Japan,3
"Chen, Hao",China,3
"Zhang, Lei",China,3
"Wang, Ruisheng",China,3
"Cheng, Liang",China,3
"Liu, Shijie",China,3
"Li, Jonathan",China,3
"Akumu, Clement E.",Unknown,3
"Yan, Lei",China,3
"Altan, Orhan",Unknown,3
"Tang, Shengjun",China,3
"McCormick, Richard",Unknown,3
"Zhu, Mingcang",China,3
"Xu, Zhanghua",China,3
"Fan, Yewen",China,3
"Zhou, Jiliu",China,3
"Teluguntla, Pardhasaradhi",Unknown,3
"Niu, Chaoyang",Unknown,3
"Chen, Long",China,3
"Ma, Yi",China,3
"Wang, Yuan",China,3
"Xie, Huan",China,3
"Foley, Daniel",Unknown,3
"Dong, Zhipeng",China,3
"Guo, Songjing",China,3
"Wang, Yanli",China,3
"Yang, Michael Ying",China,2
"Wang, Pengbo",China,2
"Wang, Bo",China,2
"Li, Jun",China,2
"Ren, Yingchao",China,2
"Zhong, Jiageng",Unknown,2
"Li, Mujie",China,2
"Tommaselli, Antonio Maria Garcia",Unknown,2
"Yang, Shuwen",China,2
"Oliphant, Adam J.",Unknown,2
"Peng, Qingjun",China,2
"Chen, Song",China,2
"Huang, Xia",China,2
"Li, Weidong",China,2
"Ullah, Inam",Unknown,2
"Yang, Jun",China,2
"Shan, Jie",China,2
"Cheng, Gui",China,2
"Zhang, Ka",China,2
"Zhu, Ningning",China,2
"Jung, Jaehoon",Korea,2
"Liu, Yu",China,2
"Goward, Samuel N.",Unknown,2
"Hu, Qingwu",China,2
"Huang, Xin",China,2
"Wang, Jia",China,2
"Xu, Dong",China,2
"Sun, Xiaofang",China,2
"Tang, Yang",China,2
"Spring, Adam P.",Unknown,2
"Wang, Jun",China,2
"Chen, Wu",China,2
"Chen, Fang",China,2
"Huang, Xu",China,2
"Deshpande, Sagar S.",Unknown,2
"Peng, Man",China,2
"Wang, X.",China,2
"Kong, Fanqiang",China,2
"Zhang, Ran",China,2
"Wan, Huawei",China,2
"Liao, Xuan",China,2
"Li, Jing",China,2
"Bulatov, Dimitri",Unknown,2
"Witharana, Chandi",Unknown,2
"Su, Dong",Unknown,2
"Xu, Linlin",China,2
"Lyimo, Neema Nicodemus",Unknown,2
"Hu, Yuxiang",China,2
"Ara, Iffat",Unknown,2
"Wang, Qian",China,2
"Wang, Li",China,2
"Heipke, C.",Unknown,2
"Meng, Qingyan",China,2
"Ling, Xiao",China,2
"Hamal, Seda Nur Gamze",Unknown,2
"Osama, Nahed",Unknown,2
"Zhang, Ya",China,2
"Yu, Bo",China,2
"Wang, Weixi",China,2
"Yakar, Murat",Unknown,2
"Ma, Lingfei",China,2
"Ma, Youqing",China,2
"Corcoran, Forrest",Unknown,2
"Campos, Mariana Batista",Unknown,2
"Zhang, Yinsheng",China,2
"Gakhar, Shalini",Unknown,2
"Wang, Qunming",China,2
"Chu, Jinkui",China,2
"Guan, Fengying",Unknown,2
"Williams, Darrel L.",USA,2
"Wang, Sheng",China,2
"Dennis, Sam",Unknown,2
"Yang, Changkun",China,2
"Wang, Baoyun",China,2
"Zheng, Haotian",China,2
"Teng, Jiahua",Unknown,2
"Tao, Wuyong",China,2
