Rank,Author Name,Nationality,Paper Count
1,"Shao, Zhenfeng",China,12
2,"Huang, Xiao",China,9
3,"Qin, Rongjun",China,8
4,"Cheng, Qimin",China,8
5,"Zhu, Qing",China,7
6,"Ge, Xuming",Unknown,7
7,"Wu, Bo",China,6
8,"Ahmad, Muhammad Nasar",Arab,6
9,"Hu, Han",China,5
10,"Chen, Min",China,5
11,"Zheng, Zezhong",China,5
12,"Wang, Wei",China,5
13,"Liu, Wei",China,5
14,"Jin, Shuanggen",China,5
15,"Javed, Akib",Unknown,5
16,"Parrish, Christopher E.",Unknown,5
17,"Li, Deren",China,5
18,"Peng, Hao",China,5
19,"Habib, Ayman",Unknown,4
20,"Xu, Bo",China,4
21,"Thenkabail, Prasad S.",Unknown,4
22,"Aneece, Itiya",Unknown,4
23,"Tong, Xiaohua",Unknown,4
24,"Wang, Mi",China,4
25,"Di, Kaichang",Unknown,4
26,"Liu, Zhaoqin",China,4
27,"Tang, Shengjun",China,3
28,"Wang, Ruisheng",China,3
29,"Cheng, Liang",China,3
30,"Wang, Lei",China,3
31,"Wang, Qiang",China,3
32,"Teluguntla, Pardhasaradhi",Unknown,3
33,"Foley, Daniel",Unknown,3
34,"McCormick, Richard",Unknown,3
35,"Sheng, Qinghong",Unknown,3
36,"Liu, Shijie",China,3
37,"Xie, Huan",China,3
38,"Xu, Zhanghua",China,3
39,"Sun, Lei",China,3
40,"Li, Haitao",China,3
41,"Yang, Yuanyao",China,3
42,"Zhang, Chaofei",China,3
43,"Li, Jonathan",China,3
44,"Ma, Yi",China,3
45,"Wang, Yanli",China,3
46,"Dong, Zhipeng",China,3
47,"Niu, Chaoyang",Unknown,3
48,"Chen, Long",China,3
49,"Zhu, Mingcang",China,3
50,"He, Yong",China,3
51,"Sakamoto, Toshihiro",Japan,3
52,"Zhang, Lei",China,3
53,"Akumu, Clement E.",Unknown,3
54,"Guo, Songjing",China,3
55,"Wu, Wenfu",China,3
56,"Chen, Hao",China,3
57,"Li, Xiaohua",China,3
58,"Zhou, Jiliu",China,3
59,"Wang, Yuan",China,3
60,"Fan, Yewen",China,3
61,"Altan, Orhan",Unknown,3
62,"Yan, Lei",China,3
63,"Xiao, Wen",China,3
64,"Wang, Yexin",China,3
65,"Xie, Zhiwei",China,2
66,"Chen, Song",China,2
67,"Li, You",China,2
68,"Xie, Linfu",China,2
69,"Wang, Weixi",China,2
70,"Guo, Renzhong",China,2
71,"Wang, Sheng",China,2
72,"Shan, Huilin",China,2
73,"Hu, Yuxiang",China,2
74,"Chen, Xin",China,2
75,"Zhang, Yinsheng",China,2
76,"Wang, Qian",China,2
77,"Ling, Xiao",China,2
78,"Wang, Bo",China,2
79,"Li, Jun",China,2
80,"Ye, Zhen",China,2
81,"Hong, Zhonghua",Korea,2
82,"Yang, Jun",China,2
83,"Meng, Qingyan",China,2
84,"Qin, Jiangying",China,2
85,"Li, Ming",China,2
86,"Zhong, Jiageng",Unknown,2
87,"Liao, Xuan",China,2
88,"Tang, Yang",China,2
89,"Bingham-Byrne, Rebecca Michelle",Unknown,2
90,"Wang, Jun",China,2
91,"Wang, Bing",China,2
92,"Guan, Fengying",Unknown,2
93,"Wang, Li",China,2
94,"Fraundorfer, Friedrich",Unknown,2
95,"He, Hongjie",China,2
96,"Xu, Linlin",China,2
97,"Chapman, Michael A.",Unknown,2
98,"Ma, Lingfei",China,2
99,"Chen, Nan",China,2
100,"Oliphant, Adam J.",Unknown,2
